Brand,Belt,Coat,Dress,Hoodie,Jacket,Jeans,Lingerie,Pants,Sandals,Shirt,Shorts,Skirt,Sneakers,Sweater,Swimsuit,T-shirt,Underwear
Adidas,,,,44.375,,,,,,,,,150.0,,,,
Balenciaga,,,,,,,,,400.0,,,,407.14285714285717,,,,
Balmain,,,227.14285714285714,,,,,,,,,,,,,,
Calvin Klein,,,,,,,,,,,,,,,,,15.625
Chanel,,,1362.5,,,,,,,,,,,,,,
Dolce & Gabbana,,,,,,,,,,318.75,,,,,,,
Fendi,,,,,,,,,132.14285714285714,,,,,,,,
Givenchy,,454.2857142857143,,,,,,,,,380.0,,,,,500.0,
Gucci,,1200.0,,,,,,,,,,2000.0,,,,192.5,
H&M,,,,,,18.571428571428573,,,,,,,,,,10.0,
Herm_s,635.7142857142857,,,,,,,,,,,,,,,,
Levi's,,,,,,45.0,,,,,,,,,,,
Moncler,,,,,566.25,,,,,,,,,,,,
Nike,,,,,,,,60.0,,,17.142857142857142,,110.0,,,,
Off-White,,,,238.57142857142858,,,,,,,,,,,,,
Prada,,,,,,,,,,290.0,,,,,,,
Puma,,,,,,,,,,,35.0,,,,,13.714285714285714,
Ralph Lauren,,,,,,,,,,,,,,81.42857142857143,,,
Saint Laurent,,,,,,,,,,,,,,,,245.0,
Tommy Hilfiger,,,,,,,,,,,25.285714285714285,,,,45.0,,
Uniqlo,,,55.0,,81.42857142857143,,,,,30.0,25.0,,,,,,12.0
Versace,,,,,,,,155.71428571428572,,,,,,,,,
Victoria's Secret,,,,,,,24.625,,,,,,,,,,
Zara,,141.42857142857142,,,,,,,,,,,,,,,
